2025-01-21 14:21:17,336 - INFO - Pod: airflow-postgresql-0, CPU: 0.022 cores, Memory: 79.0 MiB
2025-01-21 14:21:17,337 - INFO - Pod: airflow-scheduler-6c87cc4999-cfc9b, CPU: 0.092 cores, Memory: 397.0 MiB
2025-01-21 14:21:17,337 - INFO - Pod: airflow-statsd-769b757665-j79v7, CPU: 0.005 cores, Memory: 19.0 MiB
2025-01-21 14:21:17,337 - INFO - Pod: airflow-triggerer-0, CPU: 0.05 cores, Memory: 363.0 MiB
2025-01-21 14:21:17,338 - INFO - Pod: airflow-webserver-76897578b8-42m5q, CPU: 0.003 cores, Memory: 1649.0 MiB
2025-01-21 14:21:17,338 - INFO - Pod: parquet-transform-dag-v1-transform-parquet-v2-bke1mr04, CPU: 0.319 cores, Memory: 345.0 MiB
2025-01-21 14:21:22,419 - INFO - Pod: airflow-postgresql-0, CPU: 0.022 cores, Memory: 79.0 MiB
2025-01-21 14:21:22,419 - INFO - Pod: airflow-scheduler-6c87cc4999-cfc9b, CPU: 0.092 cores, Memory: 397.0 MiB
2025-01-21 14:21:22,419 - INFO - Pod: airflow-statsd-769b757665-j79v7, CPU: 0.005 cores, Memory: 19.0 MiB
2025-01-21 14:21:22,419 - INFO - Pod: airflow-triggerer-0, CPU: 0.05 cores, Memory: 363.0 MiB
2025-01-21 14:21:22,420 - INFO - Pod: airflow-webserver-76897578b8-42m5q, CPU: 0.003 cores, Memory: 1649.0 MiB
2025-01-21 14:21:22,420 - INFO - Pod: parquet-transform-dag-v1-transform-parquet-v2-bke1mr04, CPU: 0.319 cores, Memory: 345.0 MiB
2025-01-21 14:21:27,505 - INFO - Pod: airflow-postgresql-0, CPU: 0.022 cores, Memory: 79.0 MiB
2025-01-21 14:21:27,505 - INFO - Pod: airflow-scheduler-6c87cc4999-cfc9b, CPU: 0.092 cores, Memory: 397.0 MiB
2025-01-21 14:21:27,505 - INFO - Pod: airflow-statsd-769b757665-j79v7, CPU: 0.005 cores, Memory: 19.0 MiB
2025-01-21 14:21:27,505 - INFO - Pod: airflow-triggerer-0, CPU: 0.05 cores, Memory: 363.0 MiB
2025-01-21 14:21:27,506 - INFO - Pod: airflow-webserver-76897578b8-42m5q, CPU: 0.003 cores, Memory: 1649.0 MiB
